# POINT3D_ID X Y Z R G B ERROR
282 -2.555133 3.044331 4.554039 255 255 255 0
283 -2.829995 3.465693 4.226231 255 255 255 0
284 -2.624728 3.372225 4.416473 255 255 255 0
285 -3.0539 3.487059 4.638974 255 255 255 0
286 -2.783368 3.099524 4.267466 255 255 255 0
287 -2.449308 3.082348 4.452371 255 255 255 0
288 -2.9551 3.188505 5.129044 255 255 255 0
289 -2.615064 3.174655 4.85358 255 255 255 0
290 -2.795671 3.146545 4.638599 255 255 255 0
291 -2.341527 3.06513 4.880007 255 255 255 0
292 -3.032965 3.155113 4.660014 255 255 255 0
293 -2.813031 3.159314 4.475958 255 255 255 0
294 -3.020422 3.199245 4.214619 255 255 255 0
295 -2.912004 3.367123 4.746789 255 255 255 0
296 -2.524373 3.314939 4.618319 255 255 255 0
297 -2.861688 3.232013 4.325431 255 255 255 0
298 -3.047184 3.331847 4.874328 255 255 255 0
299 -3.004782 3.234249 4.208028 255 255 255 0
300 -2.532882 3.067823 4.935386 255 255 255 0
301 -3.997846 3.167133 3.331289 255 255 255 0
302 -4.124176 3.22485 3.206561 255 255 255 0
303 -4.589948 3.124266 3.259601 255 255 255 0
304 -4.545653 3.207767 3.211268 255 255 255 0
305 -4.156976 3.200766 3.711744 255 255 255 0
306 -4.560884 3.217944 3.209774 255 255 255 0
307 -4.147378 3.190513 3.79061 255 255 255 0
308 -4.642751 3.355079 3.181077 255 255 255 0
309 -4.394536 3.119185 3.233288 255 255 255 0
310 -3.994375 3.08175 3.90512 255 255 255 0
311 -4.059813 3.087692 3.696046 255 255 255 0
312 -4.374914 3.123952 3.276972 255 255 255 0
313 -4.035892 3.295318 3.424329 255 255 255 0
314 -3.959475 3.166811 3.683172 255 255 255 0
315 -4.460167 3.218212 3.365759 255 255 255 0
316 -4.373983 3.05687 3.536765 255 255 255 0
317 -4.361975 3.19531 3.605195 255 255 255 0
318 -4.073503 3.427458 3.016228 255 255 255 0
319 -4.274863 3.196009 3.210174 255 255 255 0
320 -4.069969 3.357403 3.143728 255 255 255 0
321 -4.474593 3.330707 3.086993 255 255 255 0
322 -4.630073 3.213189 3.132248 255 255 255 0
323 -4.056756 3.246166 3.629644 255 255 255 0
324 -4.446968 3.179142 3.401001 255 255 255 0
325 -4.048496 3.145203 3.690998 255 255 255 0
326 -4.079247 3.258917 3.716037 255 255 255 0
327 -4.256866 3.146006 3.47307 255 255 255 0
328 -4.433891 3.219864 3.429767 255 255 255 0
329 -4.598293 3.331742 3.214659 255 255 255 0
330 -4.359563 3.221227 3.43937 255 255 255 0
331 -3.892924 3.239874 3.072402 255 255 255 0
332 -4.119417 3.243899 3.414448 255 255 255 0
333 -4.36381 3.169544 2.935275 255 255 255 0
334 -4.439065 3.257417 3.374158 255 255 255 0
335 -4.725172 3.284052 2.988924 255 255 255 0
336 -4.261277 3.197897 3.469433 255 255 255 0
337 -4.084862 3.332974 3.389931 255 255 255 0
338 -4.763958 3.171613 3.134899 255 255 255 0
339 -4.650048 3.364419 3.108167 255 255 255 0
340 -4.661705 3.205557 3.158918 255 255 255 0
341 -4.656211 3.247412 3.135355 255 255 255 0
342 -4.135687 3.227052 2.988539 255 255 255 0
343 -4.45189 3.277406 2.996948 255 255 255 0
344 -4.224766 3.212121 3.084007 255 255 255 0
345 -4.445186 3.111738 3.305512 255 255 255 0
346 -4.345833 3.232844 3.276323 255 255 255 0
347 -4.077295 3.030476 2.980123 255 255 255 0
348 -4.044101 3.129852 3.262017 255 255 255 0
349 -4.568487 3.191652 3.240457 255 255 255 0
350 -4.303192 3.113619 3.455832 255 255 255 0
351 -3.496987 3.251937 3.414106 255 255 255 0
352 -3.427576 3.145916 3.772578 255 255 255 0
353 -3.712919 3.192409 3.560459 255 255 255 0
354 -3.843399 3.027834 3.445718 255 255 255 0
355 -4.006196 3.426589 3.185068 255 255 255 0
356 -3.745353 2.892407 4.015422 255 255 255 0
357 -3.640192 3.241699 3.298657 255 255 255 0
358 -3.501048 3.175055 3.755143 255 255 255 0
359 -3.660634 3.176481 3.948416 255 255 255 0
360 -3.256178 3.089068 3.923688 255 255 255 0
361 -3.557248 3.348686 3.578104 255 255 255 0
362 -3.86092 3.263978 3.675317 255 255 255 0
363 -3.806396 3.072766 3.665098 255 255 255 0
364 -3.672251 3.258663 3.613808 255 255 255 0
365 -3.491741 3.342512 3.891178 255 255 255 0
366 -3.594626 3.106679 3.530374 255 255 255 0
367 -3.685371 3.034385 3.805165 255 255 255 0
368 -4.022194 3.05585 3.169321 255 255 255 0
369 -3.717256 2.992435 3.805139 255 255 255 0
370 -3.872929 3.182236 3.481889 255 255 255 0
371 -3.441126 3.156045 3.719344 255 255 255 0
372 -3.812216 2.969469 3.375051 255 255 255 0
373 -3.563026 3.349747 3.751143 255 255 255 0
374 -3.884869 3.172737 3.904474 255 255 255 0
375 -3.350422 3.115077 3.817955 255 255 255 0
376 -3.666173 3.202571 3.975738 255 255 255 0
377 -3.977527 3.292721 3.374828 255 255 255 0
378 -3.817467 3.216817 4.103834 255 255 255 0
379 -3.55064 3.228918 3.575033 255 255 255 0
380 -3.861702 3.297771 3.165167 255 255 255 0
381 -3.396585 3.154346 3.992613 255 255 255 0
382 -3.554639 3.292738 3.460364 255 255 255 0
383 -3.695985 3.09247 3.477974 255 255 255 0
384 -3.907013 3.100046 3.970248 255 255 255 0
385 -3.367202 3.16148 3.978782 255 255 255 0
386 -3.027594 3.122861 3.893204 255 255 255 0
387 -3.945227 3.301646 3.148818 255 255 255 0
388 -3.738008 3.148063 3.445446 255 255 255 0
389 -3.524556 3.042813 3.899368 255 255 255 0
390 -3.602481 3.299219 4.077383 255 255 255 0
391 -3.933046 3.273275 3.123966 255 255 255 0
392 -3.144578 3.359968 3.883702 255 255 255 0
393 -3.943502 3.310709 3.897631 255 255 255 0
394 -3.92505 3.244177 3.547166 255 255 255 0
395 -3.850188 3.360373 3.263195 255 255 255 0
396 -3.954563 3.205164 3.292785 255 255 255 0
397 -3.056093 3.239473 3.921295 255 255 255 0
398 -3.600383 3.171452 3.264678 255 255 255 0
399 -3.863585 3.160273 3.606538 255 255 255 0
400 -3.559052 3.083274 3.615572 255 255 255 0
401 -4.501572 3.245308 2.625817 255 255 255 0
402 -4.358023 3.349725 2.963703 255 255 255 0
403 -4.147507 3.262223 3.13941 255 255 255 0
404 -4.253332 3.207165 2.790424 255 255 255 0
405 -4.707254 3.25613 2.610278 255 255 255 0
406 -5.031311 3.081422 2.624761 255 255 255 0
407 -4.667646 3.326308 2.321223 255 255 255 0
408 -4.647776 3.146622 2.484127 255 255 255 0
409 -4.348866 3.1642 2.753217 255 255 255 0
410 -4.740186 3.127548 2.253085 255 255 255 0
411 -4.268128 3.255864 3.047406 255 255 255 0
412 -4.465477 3.269539 2.916588 255 255 255 0
413 -3.964132 3.122127 2.895451 255 255 255 0
414 -4.819992 3.348596 2.699038 255 255 255 0
415 -4.88103 3.100119 2.974644 255 255 255 0
416 -5.188336 3.147473 2.836244 255 255 255 0
417 -4.652586 3.043354 2.257963 255 255 255 0
418 -4.573689 3.268008 2.280314 255 255 255 0
419 -4.721904 3.187887 2.918013 255 255 255 0
420 -4.876359 3.197987 2.146008 255 255 255 0
421 -4.517494 3.081415 2.586233 255 255 255 0
422 -4.719932 3.016521 2.762322 255 255 255 0
423 -4.872402 3.313333 2.887084 255 255 255 0
424 -4.944382 3.31224 2.858184 255 255 255 0
425 -4.631943 3.121639 2.933757 255 255 255 0
426 -4.381608 3.189164 2.583717 255 255 255 0
427 -4.586129 3.103469 2.64128 255 255 255 0
428 -5.128375 3.207939 2.116978 255 255 255 0
429 -4.931455 3.066856 2.546163 255 255 255 0
430 -4.744234 3.087319 2.900916 255 255 255 0
431 -4.764451 3.157562 2.546394 255 255 255 0
432 -4.593875 3.336956 2.618051 255 255 255 0
433 -4.91777 3.421809 2.25725 255 255 255 0
434 -4.835468 3.120501 2.828513 255 255 255 0
435 -4.712926 3.142075 2.065019 255 255 255 0
436 -4.40955 3.239668 2.653864 255 255 255 0
437 -4.806684 3.060858 2.509741 255 255 255 0
438 -5.042754 3.202733 2.812616 255 255 255 0
439 -4.865157 3.275429 2.254283 255 255 255 0
440 -4.259634 3.230608 2.726622 255 255 255 0
441 -4.547057 3.31745 2.890915 255 255 255 0
442 -4.736275 3.169072 2.277954 255 255 255 0
443 -5.008594 3.262578 2.573579 255 255 255 0
444 -4.558455 3.346249 2.907004 255 255 255 0
445 -4.353308 3.251668 2.912885 255 255 255 0
446 -4.846622 2.984202 2.673119 255 255 255 0
447 -4.436634 3.208121 3.027871 255 255 255 0
448 -4.176332 3.194737 2.852288 255 255 255 0
449 -5.080107 3.089414 2.266195 255 255 255 0
450 -4.746469 3.174244 2.57798 255 255 255 0
451 -2.181129 3.16619 4.727815 255 255 255 0
452 -2.376315 3.296963 4.43865 255 255 255 0
453 -2.811551 3.205984 4.006006 255 255 255 0
454 -2.787991 3.230827 4.111419 255 255 255 0
455 -2.400875 3.192267 4.154592 255 255 255 0
456 -2.16312 3.425081 4.359423 255 255 255 0
457 -2.400746 3.228212 3.966401 255 255 255 0
458 -2.536118 3.182983 3.978825 255 255 255 0
459 -2.16931 3.2633 4.799289 255 255 255 0
460 -2.078984 3.179645 4.334252 255 255 255 0
461 -2.266425 3.121284 4.334266 255 255 255 0
462 -2.060102 3.310023 4.706932 255 255 255 0
463 -2.414779 3.11398 4.325034 255 255 255 0
464 -2.267803 3.203255 4.346256 255 255 255 0
465 -2.016437 3.171514 4.325778 255 255 255 0
466 -2.373604 3.308419 4.639184 255 255 255 0
467 -2.211212 3.283954 4.439804 255 255 255 0
468 -2.02732 3.215408 4.289526 255 255 255 0
469 -2.305701 3.325912 4.140085 255 255 255 0
470 -2.488878 3.330804 4.098148 255 255 255 0
471 -2.238307 3.335373 4.307209 255 255 255 0
472 -2.025476 3.33451 4.114823 255 255 255 0
473 -2.111331 3.114886 4.037691 255 255 255 0
474 -2.333767 3.266529 4.135067 255 255 255 0
475 -2.344358 3.294131 4.457458 255 255 255 0
476 -2.106765 3.051598 4.393306 255 255 255 0
477 -2.213475 3.203993 4.860724 255 255 255 0
478 -2.69685 3.337507 4.250429 255 255 255 0
479 -2.104515 3.129411 4.510358 255 255 255 0
480 -2.66854 3.293344 3.969831 255 255 255 0
