# IMAGE_ID QW QX QY QZ TX TY TZ CAMERA_ID NAME
105 0.0809318 0.3221486 0.2298198 0.9147968 4.768372E-07 3.6921 -7.574664 1 frame_0104.png

106 0.06493311 0.2610767 0.2324612 0.9346574 0 3.697195 -7.585418 1 frame_0105.png

107 0.04911572 0.1997753 0.2336385 0.9503108 -1.192093E-07 3.702807 -7.593736 1 frame_0106.png

108 0.03311788 0.1364017 0.233606 0.9621466 0 3.708263 -7.596323 1 frame_0107.png

109 0.01637151 0.06831262 0.2324807 0.9700609 -1.192093E-07 3.712905 -7.588372 1 frame_0108.png

110 0.001463594 0.006173078 0.230693 0.973006 0 3.71559 -7.568648 1 frame_0109.png

111 -0.01256188 -0.05346007 0.2284016 0.972017 5.960464E-08 3.716716 -7.537415 1 frame_0110.png

112 -0.02623994 -0.1125259 0.2255765 0.9673493 1.192093E-07 3.71669 -7.495074 1 frame_0111.png

113 -0.03985361 -0.1720795 0.2220802 0.9588956 -1.192093E-07 3.716028 -7.442722 1 frame_0112.png

114 -0.05427904 -0.2360572 0.2174194 0.9455473 0 3.715407 -7.378849 1 frame_0113.png

115 -0.06811197 -0.298566 0.2117303 0.9281107 -7.152557E-07 3.715812 -7.312493 1 frame_0114.png

116 -0.08149684 -0.3607791 0.2047139 0.9062499 -4.768372E-07 3.718129 -7.246098 1 frame_0115.png

117 -0.09374941 -0.4201724 0.1965537 0.8809273 7.152557E-07 3.722896 -7.18509 1 frame_0116.png

118 -0.105072 -0.4784345 0.1870078 0.8515212 -7.152557E-07 3.730607 -7.129383 1 frame_0117.png

119 -0.1148947 -0.5332242 0.1765427 0.8193313 -7.152557E-07 3.741009 -7.081731 1 frame_0118.png

120 -0.1233115 -0.5852874 0.1652151 0.7841792 -1.311302E-06 3.753965 -7.040876 1 frame_0119.png

121 -0.1303516 -0.6348701 0.1531651 0.7459819 -3.576279E-07 3.769178 -7.005327 1 frame_0120.png

122 -0.1362625 -0.683873 0.1400628 0.7029457 1.788139E-07 3.786945 -6.971682 1 frame_0121.png

123 0.1404565 0.7259635 -0.1278838 -0.6609801 2.980232E-08 3.80428 -6.941434 1 frame_0122.png

124 0.1436908 0.7661176 -0.1154781 -0.6156961 -1.788139E-06 3.822477 -6.907958 1 frame_0123.png

125 0.1460052 0.8025497 -0.1035348 -0.5691019 -2.384186E-07 3.840285 -6.869666 1 frame_0124.png

126 0.1476241 0.835317 -0.09216322 -0.5214966 4.768372E-07 3.857314 -6.824668 1 frame_0125.png

127 0.1487924 0.8664989 -0.08064064 -0.4696143 2.384186E-07 3.874473 -6.768379 1 frame_0126.png

128 0.149511 0.8935439 -0.06986529 -0.4175459 -2.384186E-07 3.890325 -6.705454 1 frame_0127.png

129 0.1498644 0.9176052 -0.05934201 -0.3633454 2.384186E-07 3.905581 -6.635707 1 frame_0128.png

130 0.149823 0.9385472 -0.04901531 -0.3070503 -4.768372E-07 3.920377 -6.562201 1 frame_0129.png

131 0.1492882 0.9566593 -0.03855133 -0.2470421 0 3.935317 -6.486662 1 frame_0130.png

132 0.148111 0.9713911 -0.02798178 -0.1835195 1.192093E-07 3.950549 -6.413783 1 frame_0131.png

133 0.1461701 0.9820746 -0.01752054 -0.1177154 -1.192093E-07 3.965995 -6.349174 1 frame_0132.png

134 0.1435416 0.9881663 -0.007772326 -0.05350611 -5.960464E-08 3.980913 -6.298795 1 frame_0133.png

135 0.1401026 0.9900576 0.001757687 0.01242098 0 3.99612 -6.261056 1 frame_0134.png

136 0.1360343 0.9876117 0.01067276 0.07748446 5.960464E-08 4.01094 -6.237739 1 frame_0135.png

137 0.1315143 0.9810468 0.01890779 0.1410449 0 4.025043 -6.227524 1 frame_0136.png

138 0.1266154 0.970319 0.02665888 0.2043008 2.384186E-07 4.038419 -6.228045 1 frame_0137.png

139 0.1213572 0.9548454 0.03419186 0.2690234 -7.152557E-07 4.051021 -6.236926 1 frame_0138.png

140 0.1166028 0.9369868 0.04066983 0.326811 -4.768372E-07 4.060934 -6.248952 1 frame_0139.png

141 0.111957 0.9152483 0.04699192 0.3841588 4.768372E-07 4.069108 -6.261422 1 frame_0140.png

142 0.1076443 0.8902828 0.05311634 0.4393039 2.384186E-07 4.075015 -6.270926 1 frame_0141.png

143 0.1037382 0.8626809 0.05909785 0.4914546 2.384186E-07 4.078513 -6.275542 1 frame_0142.png

144 0.1001517 0.8324286 0.06510174 0.5411045 1.072884E-06 4.079701 -6.275064 1 frame_0143.png

145 0.09670045 0.7987504 0.07137201 0.5895361 -8.34465E-07 4.078662 -6.270356 1 frame_0144.png

146 0.0932109 0.7609575 0.07806484 0.6373078 7.152557E-07 4.075367 -6.263172 1 frame_0145.png

147 0.08949696 0.7184917 0.0852584 0.684464 1.490116E-07 4.069788 -6.256303 1 frame_0146.png

148 0.08538265 0.6712584 0.09290586 0.7304043 1.221895E-06 4.062005 -6.253417 1 frame_0147.png

149 0.08090461 0.6216238 0.1005556 0.7726105 3.576279E-07 4.052652 -6.257946 1 frame_0148.png

150 0.0758573 0.5688064 0.1082606 0.8117788 1.311302E-06 4.041838 -6.272242 1 frame_0149.png

151 0.07008754 0.512356 0.1160033 0.8480108 4.768372E-07 4.02962 -6.298167 1 frame_0150.png

152 0.06393782 0.456073 0.1232353 0.8790463 0 4.016922 -6.333938 1 frame_0151.png

153 0.05719189 0.3980235 0.1302235 0.9062827 2.384186E-07 4.003327 -6.379529 1 frame_0152.png

154 0.04972751 0.3373846 0.1370745 0.930005 0 3.988538 -6.434295 1 frame_0153.png

155 0.04175485 0.2760364 0.1436175 0.949439 0 3.972842 -6.494423 1 frame_0154.png

156 0.03306101 0.2126041 0.1500594 0.9649812 0 3.955679 -6.558535 1 frame_0155.png

157 0.02343654 0.1462074 0.1565312 0.9765102 0 3.93653 -6.624534 1 frame_0156.png

158 0.01407192 0.08524164 0.1622692 0.9829571 0 3.917782 -6.681764 1 frame_0157.png

159 0.004142395 0.02432915 0.167798 0.9855125 1.490116E-08 3.897919 -6.734297 1 frame_0158.png

160 -0.006583278 -0.03742309 0.1731294 0.9841658 0 3.876716 -6.782391 1 frame_0159.png

161 -0.01774603 -0.09763569 0.1779451 0.979024 -5.960464E-08 3.855193 -6.824831 1 frame_0160.png

162 -0.02977033 -0.1584333 0.1822571 0.9699458 1.192093E-07 3.832893 -6.864545 1 frame_0161.png

163 -0.04284952 -0.2205096 0.1858773 0.9565506 0 3.809917 -6.903735 1 frame_0162.png

164 -0.05669857 -0.2824596 0.1884617 0.9388738 -7.152557E-07 3.787231 -6.943579 1 frame_0163.png

165 -0.07175513 -0.3462984 0.1897843 0.9159206 -2.384186E-07 3.764626 -6.987523 1 frame_0164.png

